----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-186             [-1, 32, 4, 4]          36,864
     BatchNorm2d-187            [-1, 608, 4, 4]           1,216
            ReLU-188            [-1, 608, 4, 4]               0
          Conv2d-189            [-1, 128, 4, 4]          77,824
     BatchNorm2d-190            [-1, 128, 4, 4]             256
            ReLU-191            [-1, 128, 4, 4]               0
          Conv2d-192             [-1, 32, 4, 4]          36,864
     BatchNorm2d-193            [-1, 640, 4, 4]           1,280
            ReLU-194            [-1, 640, 4, 4]               0
          Conv2d-195            [-1, 128, 4, 4]          81,920
     BatchNorm2d-196            [-1, 128, 4, 4]             256
            ReLU-197            [-1, 128, 4, 4]               0
          Conv2d-198             [-1, 32, 4, 4]          36,864
     BatchNorm2d-199            [-1, 672, 4, 4]           1,344
            ReLU-200            [-1, 672, 4, 4]               0
          Conv2d-201            [-1, 128, 4, 4]          86,016
     BatchNorm2d-202            [-1, 128, 4, 4]             256
            ReLU-203            [-1, 128, 4, 4]               0
          Conv2d-204             [-1, 32, 4, 4]          36,864
     BatchNorm2d-205            [-1, 704, 4, 4]           1,408
            ReLU-206            [-1, 704, 4, 4]               0
          Conv2d-207            [-1, 128, 4, 4]          90,112
     BatchNorm2d-208            [-1, 128, 4, 4]             256
            ReLU-209            [-1, 128, 4, 4]               0
          Conv2d-210             [-1, 32, 4, 4]          36,864
     BatchNorm2d-211            [-1, 736, 4, 4]           1,472
            ReLU-212            [-1, 736, 4, 4]               0
          Conv2d-213            [-1, 128, 4, 4]          94,208
     BatchNorm2d-214            [-1, 128, 4, 4]             256
            ReLU-215            [-1, 128, 4, 4]               0
          Conv2d-216             [-1, 32, 4, 4]          36,864
     BatchNorm2d-217            [-1, 768, 4, 4]           1,536
            ReLU-218            [-1, 768, 4, 4]               0
          Conv2d-219            [-1, 128, 4, 4]          98,304
     BatchNorm2d-220            [-1, 128, 4, 4]             256
            ReLU-221            [-1, 128, 4, 4]               0
          Conv2d-222             [-1, 32, 4, 4]          36,864
     BatchNorm2d-223            [-1, 800, 4, 4]           1,600
            ReLU-224            [-1, 800, 4, 4]               0
          Conv2d-225            [-1, 128, 4, 4]         102,400
     BatchNorm2d-226            [-1, 128, 4, 4]             256
            ReLU-227            [-1, 128, 4, 4]               0
          Conv2d-228             [-1, 32, 4, 4]          36,864
     BatchNorm2d-229            [-1, 832, 4, 4]           1,664
            ReLU-230            [-1, 832, 4, 4]               0
          Conv2d-231            [-1, 128, 4, 4]         106,496
     BatchNorm2d-232            [-1, 128, 4, 4]             256
            ReLU-233            [-1, 128, 4, 4]               0
          Conv2d-234             [-1, 32, 4, 4]          36,864
     BatchNorm2d-235            [-1, 864, 4, 4]           1,728
            ReLU-236            [-1, 864, 4, 4]               0
          Conv2d-237            [-1, 128, 4, 4]         110,592
     BatchNorm2d-238            [-1, 128, 4, 4]             256
            ReLU-239            [-1, 128, 4, 4]               0
          Conv2d-240             [-1, 32, 4, 4]          36,864
     BatchNorm2d-241            [-1, 896, 4, 4]           1,792
            ReLU-242            [-1, 896, 4, 4]               0
          Conv2d-243            [-1, 128, 4, 4]         114,688
     BatchNorm2d-244            [-1, 128, 4, 4]             256
            ReLU-245            [-1, 128, 4, 4]               0
          Conv2d-246             [-1, 32, 4, 4]          36,864
     BatchNorm2d-247            [-1, 928, 4, 4]           1,856
            ReLU-248            [-1, 928, 4, 4]               0
          Conv2d-249            [-1, 128, 4, 4]         118,784
     BatchNorm2d-250            [-1, 128, 4, 4]             256
            ReLU-251            [-1, 128, 4, 4]               0
          Conv2d-252             [-1, 32, 4, 4]          36,864
     BatchNorm2d-253            [-1, 960, 4, 4]           1,920
            ReLU-254            [-1, 960, 4, 4]               0
          Conv2d-255            [-1, 128, 4, 4]         122,880
     BatchNorm2d-256            [-1, 128, 4, 4]             256
            ReLU-257            [-1, 128, 4, 4]               0
          Conv2d-258             [-1, 32, 4, 4]          36,864
     BatchNorm2d-259            [-1, 992, 4, 4]           1,984
            ReLU-260            [-1, 992, 4, 4]               0
          Conv2d-261            [-1, 128, 4, 4]         126,976
     BatchNorm2d-262            [-1, 128, 4, 4]             256
            ReLU-263            [-1, 128, 4, 4]               0
          Conv2d-264             [-1, 32, 4, 4]          36,864
     BatchNorm2d-265           [-1, 1024, 4, 4]           2,048
            ReLU-266           [-1, 1024, 4, 4]               0
          Conv2d-267            [-1, 128, 4, 4]         131,072
     BatchNorm2d-268            [-1, 128, 4, 4]             256
            ReLU-269            [-1, 128, 4, 4]               0
          Conv2d-270             [-1, 32, 4, 4]          36,864
     BatchNorm2d-271           [-1, 1056, 4, 4]           2,112
            ReLU-272           [-1, 1056, 4, 4]               0
          Conv2d-273            [-1, 128, 4, 4]         135,168
     BatchNorm2d-274            [-1, 128, 4, 4]             256
            ReLU-275            [-1, 128, 4, 4]               0
          Conv2d-276             [-1, 32, 4, 4]          36,864
     BatchNorm2d-277           [-1, 1088, 4, 4]           2,176
            ReLU-278           [-1, 1088, 4, 4]               0
          Conv2d-279            [-1, 128, 4, 4]         139,264
     BatchNorm2d-280            [-1, 128, 4, 4]             256
            ReLU-281            [-1, 128, 4, 4]               0
