----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BasicConv2d-156          [-1, 192, 15, 15]               0
          Conv2d-157          [-1, 160, 15, 15]         122,880
     BatchNorm2d-158          [-1, 160, 15, 15]             320
     BasicConv2d-159          [-1, 160, 15, 15]               0
          Conv2d-160          [-1, 160, 15, 15]         179,200
     BatchNorm2d-161          [-1, 160, 15, 15]             320
     BasicConv2d-162          [-1, 160, 15, 15]               0
          Conv2d-163          [-1, 160, 15, 15]         179,200
     BatchNorm2d-164          [-1, 160, 15, 15]             320
     BasicConv2d-165          [-1, 160, 15, 15]               0
          Conv2d-166          [-1, 160, 15, 15]         179,200
     BatchNorm2d-167          [-1, 160, 15, 15]             320
     BasicConv2d-168          [-1, 160, 15, 15]               0
          Conv2d-169          [-1, 192, 15, 15]         215,040
     BatchNorm2d-170          [-1, 192, 15, 15]             384
     BasicConv2d-171          [-1, 192, 15, 15]               0
          Conv2d-172          [-1, 192, 15, 15]         147,456
     BatchNorm2d-173          [-1, 192, 15, 15]             384
     BasicConv2d-174          [-1, 192, 15, 15]               0
      InceptionC-175          [-1, 768, 15, 15]               0
          Conv2d-176          [-1, 192, 15, 15]         147,456
     BatchNorm2d-177          [-1, 192, 15, 15]             384
     BasicConv2d-178          [-1, 192, 15, 15]               0
          Conv2d-179          [-1, 192, 15, 15]         147,456
     BatchNorm2d-180          [-1, 192, 15, 15]             384
     BasicConv2d-181          [-1, 192, 15, 15]               0
          Conv2d-182          [-1, 192, 15, 15]         258,048
     BatchNorm2d-183          [-1, 192, 15, 15]             384
     BasicConv2d-184          [-1, 192, 15, 15]               0
          Conv2d-185          [-1, 192, 15, 15]         258,048
     BatchNorm2d-186          [-1, 192, 15, 15]             384
     BasicConv2d-187          [-1, 192, 15, 15]               0
          Conv2d-188          [-1, 192, 15, 15]         147,456
     BatchNorm2d-189          [-1, 192, 15, 15]             384
     BasicConv2d-190          [-1, 192, 15, 15]               0
          Conv2d-191          [-1, 192, 15, 15]         258,048
     BatchNorm2d-192          [-1, 192, 15, 15]             384
     BasicConv2d-193          [-1, 192, 15, 15]               0
          Conv2d-194          [-1, 192, 15, 15]         258,048
     BatchNorm2d-195          [-1, 192, 15, 15]             384
     BasicConv2d-196          [-1, 192, 15, 15]               0
          Conv2d-197          [-1, 192, 15, 15]         258,048
     BatchNorm2d-198          [-1, 192, 15, 15]             384
     BasicConv2d-199          [-1, 192, 15, 15]               0
          Conv2d-200          [-1, 192, 15, 15]         258,048
     BatchNorm2d-201          [-1, 192, 15, 15]             384
     BasicConv2d-202          [-1, 192, 15, 15]               0
          Conv2d-203          [-1, 192, 15, 15]         147,456
     BatchNorm2d-204          [-1, 192, 15, 15]             384
     BasicConv2d-205          [-1, 192, 15, 15]               0
      InceptionC-206          [-1, 768, 15, 15]               0
          Conv2d-207          [-1, 192, 15, 15]         147,456
     BatchNorm2d-208          [-1, 192, 15, 15]             384
     BasicConv2d-209          [-1, 192, 15, 15]               0
          Conv2d-210            [-1, 320, 7, 7]         552,960
     BatchNorm2d-211            [-1, 320, 7, 7]             640
     BasicConv2d-212            [-1, 320, 7, 7]               0
          Conv2d-213          [-1, 192, 15, 15]         147,456
     BatchNorm2d-214          [-1, 192, 15, 15]             384
     BasicConv2d-215          [-1, 192, 15, 15]               0
          Conv2d-216          [-1, 192, 15, 15]         258,048
     BatchNorm2d-217          [-1, 192, 15, 15]             384
     BasicConv2d-218          [-1, 192, 15, 15]               0
          Conv2d-219          [-1, 192, 15, 15]         258,048
     BatchNorm2d-220          [-1, 192, 15, 15]             384
     BasicConv2d-221          [-1, 192, 15, 15]               0
          Conv2d-222            [-1, 192, 7, 7]         331,776
     BatchNorm2d-223            [-1, 192, 7, 7]             384
     BasicConv2d-224            [-1, 192, 7, 7]               0
      InceptionD-225           [-1, 1280, 7, 7]               0
          Conv2d-226            [-1, 320, 7, 7]         409,600
     BatchNorm2d-227            [-1, 320, 7, 7]             640
     BasicConv2d-228            [-1, 320, 7, 7]               0
          Conv2d-229            [-1, 384, 7, 7]         491,520
     BatchNorm2d-230            [-1, 384, 7, 7]             768
     BasicConv2d-231            [-1, 384, 7, 7]               0
          Conv2d-232            [-1, 384, 7, 7]         442,368
     BatchNorm2d-233            [-1, 384, 7, 7]             768
     BasicConv2d-234            [-1, 384, 7, 7]               0
          Conv2d-235            [-1, 384, 7, 7]         442,368
     BatchNorm2d-236            [-1, 384, 7, 7]             768
     BasicConv2d-237            [-1, 384, 7, 7]               0
          Conv2d-238            [-1, 448, 7, 7]         573,440
     BatchNorm2d-239            [-1, 448, 7, 7]             896
     BasicConv2d-240            [-1, 448, 7, 7]               0
          Conv2d-241            [-1, 384, 7, 7]       1,548,288
     BatchNorm2d-242            [-1, 384, 7, 7]             768
     BasicConv2d-243            [-1, 384, 7, 7]               0
          Conv2d-244            [-1, 384, 7, 7]         442,368
     BatchNorm2d-245            [-1, 384, 7, 7]             768
     BasicConv2d-246            [-1, 384, 7, 7]               0
          Conv2d-247            [-1, 384, 7, 7]         442,368
     BatchNorm2d-248            [-1, 384, 7, 7]             768
     BasicConv2d-249            [-1, 384, 7, 7]               0
          Conv2d-250            [-1, 192, 7, 7]         245,760
     BatchNorm2d-251            [-1, 192, 7, 7]             384
     BasicConv2d-252            [-1, 192, 7, 7]               0
      InceptionE-253           [-1, 2048, 7, 7]               0
          Conv2d-254            [-1, 320, 7, 7]         655,360
     BatchNorm2d-255            [-1, 320, 7, 7]             640
     BasicConv2d-256            [-1, 320, 7, 7]               0
          Conv2d-257            [-1, 384, 7, 7]         786,432
     BatchNorm2d-258            [-1, 384, 7, 7]             768
     BasicConv2d-259            [-1, 384, 7, 7]               0
          Conv2d-260            [-1, 384, 7, 7]         442,368
     BatchNorm2d-261            [-1, 384, 7, 7]             768
     BasicConv2d-262            [-1, 384, 7, 7]               0
          Conv2d-263            [-1, 384, 7, 7]         442,368
     BatchNorm2d-264            [-1, 384, 7, 7]             768
     BasicConv2d-265            [-1, 384, 7, 7]               0
          Conv2d-266            [-1, 448, 7, 7]         917,504
     BatchNorm2d-267            [-1, 448, 7, 7]             896
     BasicConv2d-268            [-1, 448, 7, 7]               0
          Conv2d-269            [-1, 384, 7, 7]       1,548,288
     BatchNorm2d-270            [-1, 384, 7, 7]             768
     BasicConv2d-271            [-1, 384, 7, 7]               0
          Conv2d-272            [-1, 384, 7, 7]         442,368
     BatchNorm2d-273            [-1, 384, 7, 7]             768
     BasicConv2d-274            [-1, 384, 7, 7]               0
          Conv2d-275            [-1, 384, 7, 7]         442,368
     BatchNorm2d-276            [-1, 384, 7, 7]             768
     BasicConv2d-277            [-1, 384, 7, 7]               0
          Conv2d-278            [-1, 192, 7, 7]         393,216
     BatchNorm2d-279            [-1, 192, 7, 7]             384
     BasicConv2d-280            [-1, 192, 7, 7]               0
      InceptionE-281           [-1, 2048, 7, 7]               0
          Linear-282                   [-1, 10]          20,490
================================================================
Total params: 21,638,954
Trainable params: 21,638,954
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 107.39
Params size (MB): 82.55
Estimated Total Size (MB): 189.95
----------------------------------------------------------------
